task_uuid,source_file_name,car_file_url,car_file_size,miner,deal_uuid,start_epoch,piece_cid,payload_cid
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmP3jeMp6xZgoxoiVxN1WogdrTQa8tPV43KX37HjgwYhYg,34091302912,f08399,bafyreicvrxcsxrokcxyakxn5fsuoq76sijzzq3xim7sm2oc77hop57susy,2852593,baga6ea4seaqhdu33fxsbaemlw5fplzucyzuqvytwrhpfaclwi55cqrneltoymga,QmTxzr7jeq6ryvzEXiMDP4Fsi8wem3hf4uVwdi2j1a5vtU
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmP3jeMp6xZgoxoiVxN1WogdrTQa8tPV43KX37HjgwYhYg,34091302912,f03223,bafyreibzkdwumijmx5yljyefv3rd2a54ff4p6j6beae7nco2frngro7mhu,2852593,baga6ea4seaqhdu33fxsbaemlw5fplzucyzuqvytwrhpfaclwi55cqrneltoymga,QmTxzr7jeq6ryvzEXiMDP4Fsi8wem3hf4uVwdi2j1a5vtU
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmP3jeMp6xZgoxoiVxN1WogdrTQa8tPV43KX37HjgwYhYg,34091302912,f0717969,bafyreidvyum5wn7ieyzhmz5nqz2rd6tmxt56vpq6zvkiyymabifofyky6i,2852593,baga6ea4seaqhdu33fxsbaemlw5fplzucyzuqvytwrhpfaclwi55cqrneltoymga,QmTxzr7jeq6ryvzEXiMDP4Fsi8wem3hf4uVwdi2j1a5vtU
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmP3jeMp6xZgoxoiVxN1WogdrTQa8tPV43KX37HjgwYhYg,34091302912,f0466405,bafyreidjzvmixmd6dg3speeveleaqkkcfknytheusbpbbvbk6x6zbqftvq,2852593,baga6ea4seaqhdu33fxsbaemlw5fplzucyzuqvytwrhpfaclwi55cqrneltoymga,QmTxzr7jeq6ryvzEXiMDP4Fsi8wem3hf4uVwdi2j1a5vtU
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmP3jeMp6xZgoxoiVxN1WogdrTQa8tPV43KX37HjgwYhYg,34091302912,f010088,bafyreieqa7padcfohg5mladhg3badvmrhmy4ieurtse33bednxfo3surf4,2852593,baga6ea4seaqhdu33fxsbaemlw5fplzucyzuqvytwrhpfaclwi55cqrneltoymga,QmTxzr7jeq6ryvzEXiMDP4Fsi8wem3hf4uVwdi2j1a5vtU
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmP3jeMp6xZgoxoiVxN1WogdrTQa8tPV43KX37HjgwYhYg,34091302912,f01337533,bafyreieyxulzr6xir6c2tyqlhjgrmo5bh2rmf7nqd3qncr4yg6iqv2guju,2852593,baga6ea4seaqhdu33fxsbaemlw5fplzucyzuqvytwrhpfaclwi55cqrneltoymga,QmTxzr7jeq6ryvzEXiMDP4Fsi8wem3hf4uVwdi2j1a5vtU
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmP3jeMp6xZgoxoiVxN1WogdrTQa8tPV43KX37HjgwYhYg,34091302912,f01222595,bafyreibklpwsc2xzm6koe3rr2im32yzq46v3klj75qoh73fxm4h2kyhuja,2852593,baga6ea4seaqhdu33fxsbaemlw5fplzucyzuqvytwrhpfaclwi55cqrneltoymga,QmTxzr7jeq6ryvzEXiMDP4Fsi8wem3hf4uVwdi2j1a5vtU
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmP3jeMp6xZgoxoiVxN1WogdrTQa8tPV43KX37HjgwYhYg,34091302912,f01163272,bafyreifo4uadqqx327j523vw45sin24er4puw5ydow7crmzszagtkdp4ja,2852593,baga6ea4seaqhdu33fxsbaemlw5fplzucyzuqvytwrhpfaclwi55cqrneltoymga,QmTxzr7jeq6ryvzEXiMDP4Fsi8wem3hf4uVwdi2j1a5vtU
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmP3jeMp6xZgoxoiVxN1WogdrTQa8tPV43KX37HjgwYhYg,34091302912,f01888808,bafyreicsjbtefvqj3axds5tgtefr6pqtotp4dm3pwmvxuptqqt5gfml3uu,2852593,baga6ea4seaqhdu33fxsbaemlw5fplzucyzuqvytwrhpfaclwi55cqrneltoymga,QmTxzr7jeq6ryvzEXiMDP4Fsi8wem3hf4uVwdi2j1a5vtU
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmP3jeMp6xZgoxoiVxN1WogdrTQa8tPV43KX37HjgwYhYg,34091302912,f01225882,bafyreih3ujtvptu3coofatns27w62jp7jqv6mpcnme3j4u2vbqzwilm3ri,2852593,baga6ea4seaqhdu33fxsbaemlw5fplzucyzuqvytwrhpfaclwi55cqrneltoymga,QmTxzr7jeq6ryvzEXiMDP4Fsi8wem3hf4uVwdi2j1a5vtU
